Source,Site,Kind,location,substrate,type,1302,1300,1298,1296,1292,1292',Ia,Ib,Ic,IIa,IIa',IIb,IIb',IIc,IIc',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',Iia-tot,Iib-tot,Iic-tot,,iiia-tot,IIIb-tot,IIIc-tot,FR.TETR,FR.PEN,FR.HEX,Br6/5+6,NoRINGStetra,NoRINGSpenta5,NoRINGSpenta6,NoRINGSpenta,IRpenta,IRhexa
"Warden et al., 2018",AM141612-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.141,0.123,0.061,0.065,0.056,0.093,0.078,0.009,0.032,0.152,0.143,0.017,0.02,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141613-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.139,0.125,0.063,0.067,0.061,0.066,0.07,0.009,0.031,0.167,0.155,0.018,0.02,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141614-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.134,0.124,0.062,0.067,0.061,0.086,0.053,0.009,0.03,0.174,0.156,0.017,0.018,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141617-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.155,0.11,0.052,0.072,0.063,0.083,0.076,0.008,0.025,0.181,0.134,0.014,0.019,0.002,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141622-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.165,0.106,0.049,0.067,0.066,0.085,0.073,0.008,0.024,0.179,0.134,0.013,0.024,0.002,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141627-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.182,0.105,0.049,0.073,0.064,0.084,0.063,0.007,0.023,0.183,0.125,0.014,0.02,0.002,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141632-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.161,0.106,0.047,0.072,0.066,0.094,0.067,0.008,0.023,0.183,0.129,0.013,0.022,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141637-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.221,0.116,0.051,0.083,0.066,0.095,0.056,0.008,0.018,0.159,0.089,0.014,0.021,0.004,0,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141642-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.21,0.123,0.05,0.081,0.068,0.113,0.055,0.008,0.017,0.149,0.079,0.016,0.024,0.002,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",,core lipid,Baltic,shelf sediment,modern,,,,,,,0.151,0.091,0.039,0.061,0.062,0.065,0.063,0.007,0.018,0.233,0.165,0.014,0.022,0.003,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131219-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.322,0.102,0.031,0.071,0.074,0.076,0.035,0.009,0.007,0.177,0.062,0.012,0.015,0.004,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131192-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.292,0.108,0.039,0.065,0.073,0.06,0.031,0.007,0.01,0.203,0.087,0.009,0.015,0,0,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123194-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.143,0.124,0.056,0.052,0.055,0.072,0.048,0.008,0.018,0.2,0.195,0.012,0.011,0.002,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131234-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.171,0.126,0.059,0.057,0.059,0.072,0.052,0.009,0.018,0.182,0.166,0.011,0.013,0.003,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131194-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.173,0.109,0.049,0.053,0.058,0.061,0.042,0.007,0.014,0.225,0.181,0.011,0.011,0.002,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131199-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.175,0.147,0.07,0.066,0.061,0.082,0.055,0.011,0.022,0.268,0.009,0.014,0.012,0.003,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131013-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.158,0.12,0.054,0.054,0.047,0.068,0.04,0.008,0.016,0.242,0.167,0.011,0.009,0.003,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131254-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.143,0.108,0.048,0.048,0.045,0.055,0.036,0.007,0.012,0.326,0.149,0.01,0.009,0.002,0.002,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131258-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.178,0.111,0.049,0.052,0.046,0.055,0.032,0.007,0.01,0.311,0.126,0.01,0.01,0.002,0.002,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131202-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.261,0.112,0.048,0.057,0.063,0.05,0.028,0.006,0.008,0.255,0.089,0.01,0.01,0.003,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131017-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.259,0.096,0.037,0.053,0.043,0.043,0.027,0.004,0.005,0.348,0.06,0.008,0.013,0.002,0.002,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW130678-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.236,0.094,0.043,0.053,0.051,0.045,0.026,0.005,0.007,0.33,0.089,0.007,0.01,0.002,0.002,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123197-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.23,0.102,0.047,0.054,0.048,0.048,0.028,0.005,0.007,0.333,0.075,0.006,0.009,0.003,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131020-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.336,0.121,0.048,0.057,0.052,0.05,0.032,0.007,0.006,0.203,0.056,0.011,0.015,0.003,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131289-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.23,0.093,0.045,0.054,0.037,0.041,0.022,0.005,0.007,0.389,0.056,0.006,0.015,0,0,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131294-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.162,0.13,0.059,0.053,0.05,0.065,0.042,0.009,0.014,0.236,0.151,0.011,0.01,0.003,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123582-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.359,0.13,0.053,0.062,0.051,0.054,0.026,0.006,0.006,0.156,0.065,0.012,0.013,0.003,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131207-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.271,0.12,0.059,0.059,0.065,0.062,0.031,0.008,0.009,0.195,0.093,0.011,0.012,0.003,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131473-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.438,0.078,0.027,0.056,0.089,0.052,0.018,0.006,0.004,0.125,0.082,0.008,0.011,0.003,0.002,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123987-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.22,0.101,0.056,0.057,0.1,0.085,0.043,0.011,0.008,0.149,0.133,0.014,0.016,0.004,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131022-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.128,0.169,0.094,0.053,0.056,0.156,0.039,0.024,0.006,0.129,0.103,0.02,0.014,0.004,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131318-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.151,0.154,0.096,0.051,0.057,0.137,0.037,0.026,0.007,0.13,0.11,0.019,0.016,0.004,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123200-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.123,0.124,0.078,0.05,0.065,0.116,0.04,0.024,0.009,0.169,0.154,0.021,0.018,0.005,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131319-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.14,0.091,0.057,0.05,0.07,0.108,0.045,0.025,0.008,0.17,0.182,0.022,0.018,0.006,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123500-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.128,0.07,0.043,0.047,0.067,0.109,0.048,0.027,0.008,0.181,0.213,0.026,0.02,0.007,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131320-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.135,0.063,0.037,0.048,0.072,0.104,0.046,0.026,0.008,0.18,0.216,0.028,0.02,0.008,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123988-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.113,0.048,0.028,0.046,0.072,0.095,0.05,0.023,0.009,0.185,0.261,0.031,0.022,0.008,0.009,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131321-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.107,0.047,0.028,0.042,0.068,0.096,0.051,0.025,0.011,0.169,0.281,0.031,0.027,0.008,0.01,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW130548-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.089,0.035,0.019,0.039,0.072,0.082,0.06,0.021,0.015,0.147,0.339,0.028,0.032,0.008,0.014,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131322-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.074,0.028,0.014,0.043,0.066,0.068,0.071,0.016,0.019,0.146,0.363,0.026,0.038,0.009,0.019,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131023-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.062,0.021,0.01,0.051,0.062,0.054,0.066,0.012,0.019,0.198,0.332,0.04,0.038,0.013,0.023,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131323-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.053,0.015,0.009,0.038,0.052,0.037,0.044,0.009,0.012,0.278,0.338,0.052,0.032,0.014,0.017,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131024-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.048,0.011,0.006,0.04,0.053,0.033,0.037,0.008,0.01,0.312,0.323,0.062,0.026,0.015,0.016,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131324-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.01,0.005,0.033,0.045,0.029,0.027,0.007,0.007,0.338,0.358,0.052,0.023,0.013,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123339-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.038,0.009,0.005,0.03,0.045,0.029,0.018,0.008,0.004,0.357,0.35,0.058,0.022,0.013,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131328-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.01,0.006,0.028,0.045,0.035,0.016,0.008,0.003,0.365,0.344,0.056,0.021,0.012,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123584-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.033,0.009,0.006,0.025,0.043,0.031,0.016,0.008,0.004,0.37,0.351,0.058,0.021,0.013,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131329-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.031,0.008,0.005,0.025,0.038,0.035,0.014,0.008,0.003,0.389,0.334,0.062,0.023,0.016,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123989-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.03,0.008,0.006,0.026,0.041,0.034,0.015,0.008,0.003,0.387,0.341,0.054,0.024,0.013,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131330-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.03,0.008,0.006,0.025,0.04,0.032,0.014,0.008,0.003,0.395,0.344,0.049,0.023,0.012,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW130682-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.032,0.008,0.008,0.026,0.042,0.035,0.015,0.009,0.003,0.396,0.337,0.047,0.021,0.011,0.01,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131331-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.033,0.008,0.007,0.027,0.043,0.033,0.016,0.008,0.003,0.384,0.351,0.043,0.022,0.01,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131208-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.032,0.009,0.008,0.026,0.041,0.035,0.014,0.009,0.003,0.391,0.344,0.046,0.023,0.011,0.01,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131332-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.034,0.009,0.007,0.029,0.043,0.038,0.016,0.009,0.003,0.379,0.346,0.044,0.021,0.01,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131025-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.035,0.008,0.007,0.029,0.048,0.036,0.018,0.008,0.003,0.348,0.373,0.043,0.02,0.01,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131333-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.037,0.009,0.008,0.029,0.048,0.036,0.018,0.009,0.003,0.339,0.373,0.043,0.024,0.01,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123340-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.036,0.01,0.009,0.028,0.045,0.037,0.017,0.009,0.004,0.361,0.36,0.041,0.022,0.009,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131334-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.038,0.011,0.009,0.03,0.044,0.03,0.015,0.008,0.003,0.357,0.37,0.042,0.023,0.008,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123501-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.037,0.009,0.007,0.031,0.047,0.039,0.018,0.008,0.003,0.356,0.365,0.039,0.02,0.008,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131335-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.009,0.006,0.03,0.049,0.037,0.02,0.008,0.004,0.332,0.386,0.038,0.021,0.008,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123990-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.036,0.01,0.007,0.032,0.049,0.039,0.022,0.008,0.003,0.324,0.397,0.037,0.014,0.008,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131336-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.042,0.011,0.007,0.034,0.051,0.043,0.02,0.009,0.004,0.319,0.379,0.04,0.022,0.009,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW130549-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.04,0.01,0.006,0.032,0.05,0.042,0.02,0.009,0.004,0.302,0.402,0.04,0.02,0.01,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131337-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.042,0.012,0.008,0.033,0.05,0.042,0.021,0.011,0.004,0.311,0.382,0.042,0.019,0.01,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131476-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.04,0.011,0.006,0.032,0.05,0.042,0.019,0.009,0.003,0.308,0.394,0.041,0.021,0.01,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131338-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.009,0.007,0.034,0.052,0.039,0.023,0.008,0.004,0.292,0.413,0.035,0.022,0.008,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131477-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.04,0.01,0.005,0.034,0.056,0.039,0.022,0.007,0.003,0.246,0.461,0.033,0.024,0.007,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131339-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.046,0.014,0.007,0.034,0.056,0.041,0.02,0.007,0.004,0.259,0.433,0.035,0.023,0.008,0.012,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131478-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.036,0.008,0.004,0.031,0.047,0.03,0.013,0.007,0.002,0.354,0.389,0.04,0.018,0.008,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131340-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.035,0.008,0.005,0.029,0.043,0.025,0.014,0.006,0.003,0.372,0.379,0.043,0.017,0.009,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131479-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.04,0,0.005,0.033,0.045,0.028,0.014,0.007,0.003,0.378,0.364,0.043,0.018,0.01,0.011,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131341-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.038,0.014,0.006,0.035,0.039,0.031,0.013,0.008,0.005,0.368,0.348,0.047,0.021,0.012,0.013,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131480-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.028,0.007,0.004,0.037,0.034,0.022,0.01,0.006,0.002,0.499,0.286,0.034,0.015,0.008,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131342-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.034,0.009,0.006,0.04,0.033,0.026,0.012,0.008,0.003,0.474,0.284,0.036,0.015,0.01,0.009,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131481-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.01,0.004,0.058,0.038,0.028,0.011,0.006,0.003,0.471,0.262,0.034,0.014,0.011,0.01,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131343-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.045,0.023,0.007,0.057,0.039,0.042,0.013,0.01,0.003,0.441,0.241,0.042,0.014,0.016,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123201-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.033,0.017,0.004,0.063,0.031,0.042,0.009,0.007,0.002,0.488,0.233,0.042,0.012,0.012,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131344-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.025,0.007,0.068,0.035,0.059,0.013,0.012,0.003,0.431,0.215,0.052,0.015,0.018,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123502-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.036,0.029,0.008,0.075,0.032,0.072,0.012,0.014,0.002,0.445,0.183,0.055,0.013,0.019,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131345-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.035,0.033,0.01,0.08,0.021,0.079,0.011,0.01,0.003,0.484,0.141,0.059,0.014,0.015,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123991-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.035,0.037,0.012,0.074,0.025,0.073,0.007,0.011,0.003,0.495,0.143,0.053,0.011,0.016,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131346-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.041,0.041,0.011,0.066,0.03,0.077,0.01,0.008,0.004,0.477,0.162,0.045,0.011,0.01,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW130683-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.039,0.039,0.01,0.065,0.03,0.079,0.011,0.009,0.003,0.434,0.211,0.045,0.01,0.008,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131347-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.036,0.037,0.005,0.081,0.023,0.08,0.01,0.006,0.001,0.467,0.184,0.05,0.009,0.009,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131026-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.036,0.033,0.004,0.083,0.02,0.079,0.005,0.005,0.001,0.476,0.172,0.064,0.009,0.01,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131348-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.042,0.033,0.004,0.085,0.025,0.07,0.006,0.005,0.001,0.452,0.198,0.057,0.01,0.01,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131027-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.05,0.032,0.005,0.086,0.034,0.066,0.008,0.006,0.002,0.393,0.228,0.06,0.012,0.012,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131349-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.047,0.026,0.004,0.073,0.032,0.056,0.007,0.005,0.002,0.42,0.242,0.06,0.011,0.011,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123341-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.055,0.025,0.004,0.069,0.032,0.046,0.007,0.004,0.001,0.412,0.251,0.064,0.011,0.013,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131350-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.061,0.026,0.005,0.073,0.037,0.046,0.008,0.005,0.001,0.36,0.274,0.071,0.013,0.016,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123585-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.052,0.026,0.004,0.066,0.033,0.048,0.006,0.005,0.001,0.332,0.332,0.065,0.011,0.014,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131351-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.053,0.025,0.005,0.067,0.029,0.045,0.006,0.005,0.002,0.437,0.231,0.066,0.01,0.016,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123992-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.058,0.023,0.005,0.071,0.029,0.042,0.007,0.006,0.001,0.411,0.245,0.07,0.011,0.018,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131352-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.053,0.022,0.004,0.06,0.029,0.039,0.005,0.005,0.001,0.28,0.417,0.058,0.009,0.014,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW130550-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.073,0.025,0.006,0.079,0.033,0.045,0.007,0.007,0.001,0.347,0.261,0.078,0.011,0.022,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131353-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.055,0.023,0.008,0.068,0.019,0.034,0.007,0.006,0.002,0.502,0.181,0.06,0.012,0.018,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131482-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.068,0.021,0.005,0.076,0.028,0.039,0.006,0.006,0.001,0.402,0.237,0.073,0.013,0.021,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131354-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.072,0.025,0.009,0.072,0.028,0.041,0.007,0.007,0.003,0.327,0.292,0.072,0.015,0.023,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131028-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.079,0.025,0.005,0.093,0.028,0.045,0.006,0.006,0.001,0.405,0.205,0.066,0.011,0.02,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131355-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.079,0.026,0.005,0.089,0.029,0.045,0.006,0.007,0.001,0.373,0.227,0.073,0.013,0.023,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW131483-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.079,0.022,0.005,0.088,0.028,0.039,0.008,0.006,0.001,0.376,0.23,0.076,0.013,0.024,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131356-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.093,0.032,0.007,0.098,0.029,0.058,0.009,0.012,0.005,0.387,0.214,0,0.018,0.029,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123343-1-POL-2,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.079,0.021,0.005,0.093,0.027,0.04,0.006,0.007,0.001,0.362,0.24,0.076,0.014,0.024,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131357-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.088,0.023,0.005,0.096,0.029,0.043,0.006,0.007,0.001,0.335,0.245,0.077,0.014,0.026,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123503-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.078,0.023,0.005,0.089,0.027,0.041,0.007,0.007,0.001,0.346,0.239,0.089,0.015,0.029,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",MS131358-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.077,0.024,0.005,0.088,0.024,0.048,0.005,0.007,0.001,0.381,0.21,0.087,0.013,0.028,0.003,,,,,,,,,,,,,,,,,
"Warden et al., 2018",LW123993-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.076,0.023,0.006,0.089,0.025,0.043,0.007,0.009,0.001,0.363,0.221,0.091,0.014,0.03,0.003,,,,,,,,,,,,,,,,,
